Framework,Framework ID,Supplier Name,Supplier Company House No,Member trusts NHS Org Code (ODS),Member trust name,Framework Organisation,MI Reporting Month,Invoice Date,ABI,MI Value (Ex VAT)
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2023_02,09/02/2023,320.03,6400.51
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2023_02,16/01/2023,0,16077.37
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RAL,Royal Free London NHS Foundation Trust,2019/S 239-586725-RAL,2023_02,06/02/2023,853.63,17072.53
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_04,12/05/2022,26.11,522.26
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_07,08/08/2022,352.54,7050.89
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_08,23/08/2022,19.01,380.19
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_09,12/10/2022,430.81,8616.16
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2022_10,07/11/2022,115.44,2308.81
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2023_01,25/01/2023,203.32,4066.44
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RBZ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-RBZ,2023_02,09/02/2023,32.43,648.51
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RC9,Bedfordshire Hospitals NHS Foundation Trust,2019/S 239-586725-RC9,2022_10,07/11/2022,210,4200
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RC9,Bedfordshire Hospitals NHS Foundation Trust,2019/S 239-586725-RC9,2022_10,01/11/2022,590.26,11805.21
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RC9,Bedfordshire Hospitals NHS Foundation Trust,2019/S 239-586725-RC9,2023_02,16/02/2023,164.45,3289.08
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RDR,Sussex Community NHS Foundation Trust,2019/S 239-586725-RDR,2022_09,10/10/2022,89.68,1793.68
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RDR,Sussex Community NHS Foundation Trust,2019/S 239-586725-RDR,2022_10,01/11/2022,22.76,455.2
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RDR,Sussex Community NHS Foundation Trust,2019/S 239-586725-RDR,2022_12,03/01/2023,36.06,721.29
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport & Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_09,30/09/2022,322.62,6452.3
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport & Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_11,08/11/2022,91.67,1833.46
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_04,12/05/2022,76.1,1521.95
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_07,20/07/2022,23.69,473.76
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_07,08/08/2022,34.16,683.16
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_07,05/08/2022,87.54,1750.78
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_07,19/07/2022,397.57,7951.41
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_08,31/08/2022,221.1,4422
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2022_08,07/09/2022,433.69,8673.79
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RVY,Southport and Ormskirk Hospital NHS Trust,2019/S 239-586725-RVY,2023_02,01/02/2023,175.18,3503.52
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RXY,Kent and Medway NHS and Social Care Partnership Trust,2019/S 239-586725-RXY,2022_09,29/09/2022,198.48,3969.6
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RXY,Kent and Medway NHS and Social Care Partnership Trust,2019/S 239-586725-RXY,2022_11,08/11/2022,135.83,2716.57
Analysis and Reconciliation,2019/S 239-586725,Berthold Bauer,4385276,RXY,Kent and Medway NHS and Social Care Partnership Trust,2019/S 239-586725-RXY,2023_02,30/01/2023,26.36,527.19
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAG,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAG,2022_09,30/09/2022,350.82,7016.42
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_06,17/06/2022,0,6868.27
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_06,07/06/2022,0,28113.71
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_08,22/08/2022,121.75,2435.03
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_12,28/12/2022,0,5267.25
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAJ,MID AND SOUTH ESSEX FOUNDATION NHS TRUST,2019/S 239-586725-RAJ,2022_12,06/12/2022,0,31272.43
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_05,30/05/2022,47.06,941.11
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_07,11/07/2022,179.84,3596.78
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_09,01/09/2022,412.57,8251.44
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_09,01/09/2022,0,4861.12
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_11,13/11/2022,0,21651.65
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_12,06/12/2022,0,1620
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2019/S 239-586725-RAT,2022_12,08/12/2022,0,3510
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_07,14/07/2022,0,5464.25
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_08,11/08/2022,101.84,2036.83
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_08,08/08/2022,366.04,7320.85
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RWH,EAST AND NORTH HERTFORDSHIRE HOSPITALS NHS TRUST,2019/S 239-586725-RWH,2022_09,27/09/2022,610.93,12218.64
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,2019/S 239-586725-RY4,2022_08,11/08/2022,0,2463.02
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,2019/S 239-586725-RY4,2022_08,08/08/2022,0,9689.45
Analysis and Reconciliation,2019/S 239-586725,CRS VAT Consulting Ltd,4705171,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,2019/S 239-586725-RY4,2022_10,24/10/2022,0,3275.61
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,26A,NHS Norfolk & Waveney CCG,2019/S 239-586725-26A,2023_02,28/02/2023,2289.4,45788.04
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,26A,NHS Norfolk And Waveney ICB,2019/S 239-586725-26A,2023_02,28/02/2023,0,126248.06
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RAX,Kingston Hospital NHS Foundation Trust,2019/S 239-586725-RAX,2022_08,31/08/2022,1654.98,33099.61
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,REP,Liverpool Women's NHS Foundation Trust,2019/S 239-586725-REP,2022_08,31/08/2022,1182.74,23654.72
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGN,North West Anglia NHS Foundation Trust,2019/S 239-586725-RGN,2022_07,31/07/2022,4721.83,94436.62
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGN,North West Anglia NHS Foundation Trust,2019/S 239-586725-RGN,2022_11,30/11/2022,36.81,736.2
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGN,North West Anglia NHS Foundation Trust,2019/S 239-586725-RGN,2022_12,30/12/2022,0,1883.89
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGN,North West Anglia NHS Foundation Trust,2019/S 239-586725-RGN,2023_01,31/01/2023,12.55,250.99
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGN,North West Anglia NHS Foundation Trust,2019/S 239-586725-RGN,2023_02,28/02/2023,9.76,195.26
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_04,29/04/2022,34.94,698.84
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_05,31/05/2022,0,922.01
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_06,30/06/2022,0,1224.21
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_07,29/07/2022,0,591.78
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RGP,James Paget University Hospitals NHS Foundation Trust,2019/S 239-586725-RGP,2022_08,31/08/2022,718.98,14379.57
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RKE,Whittington Health NHS Trust,2019/S 239-586725-RKE,2022_08,31/08/2022,884.82,17696.33
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2022_08,31/08/2022,939.39,18787.78
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2022_11,30/11/2022,9.74,194.88
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RN7,Dartford & Gravesham NHS Trust,2019/S 239-586725-RN7,2023_01,31/01/2023,520.98,10419.69
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RQF,Velindre NHS Trust,2019/S 239-586725-RQF,2023_01,31/01/2023,2375,47500
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RQF,Velindre NHS Trust,2019/S 239-586725-RQF,2023_02,28/02/2023,1140,22800
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RQW,Princess Alexandra Hospital NHS Trust,2019/S 239-586725-RQW,2022_07,31/07/2022,2396.63,47932.5
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RQW,Princess Alexandra Hospital NHS Trust,2019/S 239-586725-RQW,2022_12,23/12/2022,368.28,7365.68
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2022_04,29/04/2022,16.76,335.19
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2022_05,31/05/2022,0,2411.26
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2022_08,31/08/2022,3.6,72
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RVV,East Kent Hospitals University NHS Foundation Trust,2019/S 239-586725-RVV,2022_08,31/08/2022,733.1,14661.94
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_05,31/05/2022,702.13,14042.54
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_06,29/06/2022,138.31,2766.22
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_07,31/07/2022,877.01,17540.16
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_08,31/08/2022,45.54,910.75
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_09,29/09/2022,285.06,5701.18
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_10,31/10/2022,139.41,2788.15
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_11,28/11/2022,238.53,4770.57
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2022_12,23/12/2022,147.72,2954.46
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2023_01,27/01/2023,266.55,5331.01
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RX2,Sussex Partnership NHS Foundation Trust,2019/S 239-586725-RX2,2023_02,27/02/2023,386.55,7730.93
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_04,29/04/2022,304.35,6087.08
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_05,31/05/2022,892.99,17859.72
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_06,29/06/2022,257.98,5159.66
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_07,29/07/2022,1016.75,20335.06
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_08,26/08/2022,192.35,3846.94
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_09,20/09/2022,96.92,1938.35
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_10,31/10/2022,64.07,1281.43
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_11,29/11/2022,197.16,3943.11
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_12,23/12/2022,267.08,5341.62
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2023_01,31/01/2023,2182.13,43642.65
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2023_02,27/02/2023,222.49,4449.76
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2022_05,31/05/2022,337.57,6751.46
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2022_07,31/07/2022,0,34928.53
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2022_08,31/08/2022,153.95,3078.93
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2022_12,23/12/2022,835.79,16715.88
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYF,South Western Ambulance Service NHS Foundation Trust,2019/S 239-586725-RYF,2022_04,29/04/2022,282.07,5641.4
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYF,South Western Ambulance Service NHS Foundation Trust,2019/S 239-586725-RYF,2022_08,31/08/2022,1174.62,23492.36
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYG,South Western Ambulance Service NHS Foundation Trust,2019/S 239-586725-RYG,2022_12,30/12/2022,0,4872.77
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYG,South Western Ambulance Service NHS Foundation Trust,2019/S 239-586725-RYG,2023_01,31/01/2023,13.32,266.47
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYG,South Western Ambulance Service NHS Foundation Trust,2019/S 239-586725-RYG,2023_02,28/02/2023,9.49,189.76
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2022_10,31/10/2022,18.09,361.84
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2022_11,30/11/2022,6.81,136.14
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2022_12,30/12/2022,38.68,773.54
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2023_02,28/02/2023,36.41,728.13
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,Aberdeen City Council,2019/S 239-586725-000,2022_04,20/04/2022,0,17538
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,Aberdeenshire Council,2019/S 239-586725-000,2023_02,10/02/2023,0,45728
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Fife,2019/S 239-586725-000,2022_07,04/07/2022,342.05,6841
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Fife,2019/S 239-586725-000,2023_02,23/02/2023,0,11002
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Greater Glasgow & Clyde,2019/S 239-586725-000,2022_04,19/04/2022,0,21133
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Highland,2019/S 239-586725-000,2022_07,26/07/2022,15.4,308
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Lothian,2019/S 239-586725-000,2022_08,16/08/2022,0,17090
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Lothian,2019/S 239-586725-000,2023_02,14/02/2023,0,20002
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_05,06/05/2022,0,2076
