Framework,Framework ID,Supplier Name,Supplier Company House No,Member trusts NHS Org Code (ODS),Member trust name,Framework Organisation,MI Reporting Month,Invoice Date,ABI,MI Value (Ex VAT)
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2021_11,30/11/2021,304.81,6096.11
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2021_12,31/12/2021,0,1468.08
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2022_01,31/01/2022,11.8,236.01
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RT1,2022_02,28/02/2022,130.67,2613.38
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RT1,East Sussex Healthcare NHS Trust,2019/S 239-586725-RT1,2022_03,24/03/2022,128.01,2560.23
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RVR,Epsom & St Helier University Hospitals NHS Trust,2019/S 239-586725-RVR,2021_08,31/08/2021,0,3241.95
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RWV,Devon Partnership NHS Trust,2019/S 239-586725-RWV,2021_08,31/08/2021,1050.75,21014.97
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,Cambridgeshire & Peterborough NHS Foundation Trust,2019/S 239-586725-RXC,2022_03,31/03/2022,22.85,456.97
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_04,30/04/2021,399.69,7993.84
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_05,31/05/2021,328.69,6573.82
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_06,30/06/2021,623.82,12476.47
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_07,30/07/2021,823.51,16470.11
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_08,31/08/2021,0,7315.62
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_09,30/09/2021,184.78,3695.56
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_10,26/10/2021,798.43,15968.54
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_11,30/11/2021,273.85,5477.05
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2021_12,31/12/2021,239.82,4796.49
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_01,31/01/2022,276.53,5530.5
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RXC,East Sussex Healthcare NHS Trust,2019/S 239-586725-RXC,2022_02,28/02/2022,193.51,3870.15
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2021_08,31/08/2021,43.98,879.52
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2021_10,31/10/2021,91.01,1820.13
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,RYC,East of England Ambulance Service NHS Trust,2019/S 239-586725-RYC,2022_01,31/01/2022,164.39,3287.7
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2021_12,31/12/2021,14.17,283.47
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2022_01,31/01/2022,99.76,1995.19
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Black Country Healthcare NHS Foundation Trust,2019/S 239-586725-TAJ,2022_02,28/02/2022,26.51,530.21
Analysis and Reconciliation,2019/S 239-586725,Liaison Financial Services - A&R,6426660,TAJ,Northern Devon Healthcare NHS Trust,2019/S 239-586725-TAJ,2022_03,24/03/2022,320.98,6419.66
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,Aberdeenshire Council,2019/S 239-586725-000,2021_04,26/04/2021,0,3503.26
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,Aberdeenshire Council,2019/S 239-586725-000,2021_08,26/08/2021,0,27413
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,Aberdeenshire Council,2019/S 239-586725-000,2022_01,21/01/2022,0,51346
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Ayrshire & Arran,2019/S 239-586725-000,2022_03,01/03/2022,963.45,19269
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Fife,2019/S 239-586725-000,2021_04,16/04/2021,20.76,415.15
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Fife,2019/S 239-586725-000,2021_04,16/04/2001,22.67,453.45
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Fife,2019/S 239-586725-000,2022_02,24/02/2022,0,6640
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Highland,2019/S 239-586725-000,2021_12,31/12/2021,0,8510
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Lothian,2019/S 239-586725-000,2021_06,23/06/2021,0,10689.63
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,NHS Lothian,2019/S 239-586725-000,2022_03,24/03/2022,0,20096
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2021_05,20/05/2021,283.2,5663.91
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_01,25/01/2022,4.58,91.62
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_01,21/01/2002,8.02,160.36
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_01,21/01/2022,0,57800.7
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_02,24/02/2022,0,7635
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,The Highland Council,2019/S 239-586725-000,2022_03,25/03/2022,0,9953
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,University of Aberdeen,2019/S 239-586725-000,2021_08,17/08/2021,0,19707
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,University of Aberdeen,2019/S 239-586725-000,2021_11,30/11/2021,77.5,1550
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,University of Aberdeen,2019/S 239-586725-000,2021_12,31/12/2021,0,1158
Analysis and Reconciliation,2019/S 239-586725,M&C Energy Group Ltd,1547219,0,University of Aberdeen,2019/S 239-586725-000,2022_02,24/02/2022,0,6145
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,0,University of Bristol,2019/S 239-586725-000,2021_11,30/11/2021,1224.63,24492.67
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,0,University of Bristol,2019/S 239-586725-000,2021_12,31/12/2021,390.1,7801.92
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,0,University of Bristol,2019/S 239-586725-000,2022_01,31/01/2022,726.89,14537.84
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,0,University of Bristol,2019/S 239-586725-000,2022_02,28/02/2022,353.03,7060.65
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,0,University of Bristol,2019/S 239-586725-000,2022_03,31/03/2022,163.06,3261.26
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,626,CENTRAL BEDFORDSHIRE COUNCIL,2019/S 239-586725-626,2022_03,31/03/2022,130.42,2608.42
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,809,DORSET COUNTY COUNCIL,2019/S 239-586725-809,2022_02,28/02/2022,138.24,2764.7
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,809,DORSET COUNTY COUNCIL,2019/S 239-586725-809,2022_03,31/03/2022,83.71,1674.22
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2019/S 239-586725-RR8,2021_04,30/04/2021,208.6,4171.99
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2019/S 239-586725-RR8,2021_05,28/05/2021,170.57,3411.33
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2019/S 239-586725-RR8,2021_06,30/06/2021,74.13,1482.6
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2019/S 239-586725-RR8,2021_07,30/07/2021,7.27,145.36
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2019/S 239-586725-RR8,2021_08,31/08/2021,91.16,1823.18
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_06,30/06/2021,51.76,1035.25
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_07,30/07/2021,134.32,2686.31
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_08,31/08/2021,487,9739.98
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_09,30/09/2021,369.74,7394.71
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_10,29/10/2021,328.03,6560.65
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2019/S 239-586725-RWY,2021_11,30/11/2021,291.56,5831.23
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2021_09,30/09/2021,124.93,2498.53
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2021_10,29/10/2021,723.98,14479.59
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2021_11,30/11/2021,200.48,4009.55
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2021_12,31/12/2021,33.85,677.05
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2022_01,31/01/2022,60.5,1210.02
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2022_02,28/02/2022,89.54,1790.7
Analysis and Reconciliation,2019/S 239-586725,Meridian Cost Benefit Ltd,4775740,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2019/S 239-586725-RYR,2022_03,31/03/2022,5.78,115.51
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_04,30/04/2021,0,9018.22
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_05,31/05/2021,0,20442.98
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_06,30/06/2021,0,21502.66
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_07,31/07/2021,0,14148
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_08,31/08/2021,0,10896.02
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_09,30/09/2021,0,19583.46
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_10,31/10/2021,0,20914.66
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_11,30/11/2021,0,20060.34
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2021_12,31/12/2021,0,6981.66
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2022_01,31/01/2022,0,20445.24
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2022_02,28/02/2022,0,15252.52
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Aneurin Bevan University Health Board,2015/S 227-413650-AD-000,2022_03,31/03/2022,0,14154.24
Analysis and Reconciliation - Archive Data,2015/S 227-413650-AD,ADSM - Archive Data,#N/A,0,Hertford Regional College,2015/S 227-413650-AD-000,2021_04,30/04/2021,0,332.25
